Name,Games,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,GS
Aaron Wiggins,1.0,OKC,2.0,5.0,0.400,1.0,1.0,1.000,0.0,0.0,0.400,0.0,3.0,3.0,0.0,0.0,1.0,0.0,3.0,5.0,4.0,2.6999999999999993
Alec Burks,1.0,UTA,3.0,8.0,0.375,1.0,3.0,0.333,3.0,4.0,0.375,0.0,2.0,2.0,3.0,0.0,0.0,1.0,3.0,10.0,-17.0,5.699999999999998
Alex Len,1.0,SAC,6.0,9.0,0.667,0.0,1.0,0.000,0.0,0.0,0.667,0.0,5.0,5.0,2.0,0.0,3.0,2.0,5.0,12.0,16.0,9.100000000000001
Amir Johnson,1.0,PHI,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,-10.0,-1.7000000000000002
Andre Iguodala,1.0,GSW,1.0,7.0,0.143,0.0,2.0,0.000,1.0,2.0,0.143,1.0,5.0,6.0,7.0,1.0,0.0,0.0,1.0,3.0,22.0,5.8
Andrew Bogut,1.0,LAL,3.0,5.0,0.600,0.0,0.0,0.000,0.0,0.0,0.600,4.0,6.0,10.0,2.0,1.0,2.0,0.0,2.0,6.0,-2.0,11.3
Anfernee Simons,1.0,POR,3.0,6.0,0.500,1.0,1.0,1.000,0.0,0.0,0.500,0.0,5.0,5.0,3.0,0.0,0.0,1.0,2.0,7.0,9.0,5.8
Anthony Davis,1.0,LAL,6.0,9.0,0.667,0.0,0.0,0.000,1.0,2.0,0.667,3.0,5.0,8.0,2.0,2.0,1.0,2.0,4.0,13.0,-4.0,12.800000000000002
Austin Reaves,1.0,LAL,0.0,2.0,0.000,0.0,1.0,0.000,0.0,0.0,0.000,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,-7.0,-1.2
Ben Simmons,1.0,PHI,8.0,13.0,0.615,0.0,0.0,0.000,2.0,4.0,0.615,3.0,6.0,9.0,10.0,5.0,1.0,1.0,1.0,18.0,19.0,26.5
Blake Wesley,2.0,SAS,1.0,4.0,0.250,0.0,2.0,0.000,1.0,2.0,0.250,1.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,3.0,-8.0,2.3
Bogdan Bogdanović,1.0,ATL,2.0,10.0,0.200,1.0,6.0,0.167,0.0,0.0,0.200,0.0,2.0,2.0,1.0,1.0,0.0,3.0,2.0,5.0,4.0,-2.7
Bojan Bogdanović,2.0,UTA,14.0,23.0,0.609,9.0,16.0,0.562,9.0,9.0,0.609,1.0,7.0,8.0,3.0,1.0,0.0,4.0,8.0,46.0,-6.0,34.2
Bol Bol,1.0,PHO,1.0,2.0,0.500,0.0,0.0,0.000,0.0,0.0,0.500,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.7
Brandon Ingram,1.0,LAL,11.0,18.0,0.611,0.0,0.0,0.000,4.0,5.0,0.611,4.0,7.0,11.0,3.0,0.0,2.0,2.0,4.0,26.0,-2.0,22.199999999999996
Brook Lopez,1.0,LAL,3.0,12.0,0.250,0.0,5.0,0.000,2.0,2.0,0.250,1.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,8.0,-11.0,2.0000000000000004
Buddy Hield,1.0,SAC,4.0,13.0,0.308,2.0,10.0,0.200,1.0,2.0,0.308,2.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,11.0,12.0,6.4
CJ McCollum,1.0,POR,6.0,14.0,0.429,2.0,4.0,0.500,0.0,0.0,0.429,0.0,3.0,3.0,2.0,1.0,1.0,3.0,4.0,14.0,14.0,6.0
Caleb Swanigan,1.0,POR,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,0.000,3.0,3.0,6.0,0.0,0.0,1.0,2.0,2.0,0.0,-5.0,0.8999999999999995
Carmelo Anthony,1.0,POR,5.0,15.0,0.333,1.0,3.0,0.333,4.0,4.0,0.333,3.0,2.0,5.0,1.0,0.0,0.0,0.0,1.0,15.0,9.0,9.499999999999998
Cedi Osman,3.0,SAS,5.0,12.0,0.417,1.0,6.0,0.167,0.0,0.0,0.417,0.0,7.0,7.0,4.0,0.0,0.0,1.0,4.0,11.0,-8.0,6.8999999999999995
Chimezie Metu,1.0,PHO,3.0,6.0,0.500,0.0,2.0,0.000,4.0,4.0,0.500,1.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,10.0,5.0,7.199999999999999
Chris Duarte,1.0,SAC,0.0,2.0,0.000,0.0,1.0,0.000,0.0,0.0,0.000,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-0.7
Clint Capela,1.0,ATL,5.0,7.0,0.714,0.0,0.0,0.000,3.0,6.0,0.714,6.0,5.0,11.0,0.0,0.0,4.0,1.0,2.0,13.0,8.0,15.600000000000001
Corey Brewer,1.0,LAL,1.0,3.0,0.333,0.0,1.0,0.000,1.0,2.0,0.333,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,-1.0,1.8000000000000003
Damian Lillard,1.0,POR,17.0,29.0,0.586,9.0,15.0,0.600,8.0,8.0,0.586,0.0,2.0,2.0,12.0,1.0,0.0,2.0,2.0,51.0,17.0,44.7
Danuel House Jr.,1.0,UTA,1.0,1.0,1.000,0.0,0.0,0.000,0.0,0.0,1.000,0.0,6.0,6.0,2.0,0.0,0.0,2.0,0.0,2.0,-3.0,2.9000000000000004
Dario Šarić,1.0,PHI,3.0,10.0,0.300,1.0,7.0,0.143,0.0,0.0,0.300,1.0,5.0,6.0,0.0,0.0,3.0,0.0,1.0,7.0,1.0,5.099999999999999
David West,1.0,GSW,3.0,4.0,0.750,0.0,0.0,0.000,0.0,0.0,0.750,0.0,4.0,4.0,2.0,1.0,0.0,1.0,3.0,6.0,3.0,5.8
Davion Mitchell,2.0,SAC,6.0,13.0,0.462,0.0,3.0,0.000,0.0,0.0,0.462,0.0,2.0,2.0,8.0,0.0,0.0,0.0,2.0,12.0,6.0,10.700000000000001
De'Aaron Fox,2.0,SAC,17.0,31.0,0.548,4.0,9.0,0.444,4.0,6.0,0.548,0.0,8.0,8.0,12.0,4.0,2.0,3.0,4.0,42.0,31.0,37.9
Dejounte Murray,1.0,ATL,6.0,15.0,0.400,1.0,6.0,0.167,0.0,0.0,0.400,0.0,13.0,13.0,0.0,0.0,1.0,2.0,3.0,13.0,0.0,6.300000000000001
Dennis Schröder,1.0,LAL,4.0,9.0,0.444,0.0,5.0,0.000,2.0,2.0,0.444,0.0,2.0,2.0,3.0,0.0,0.0,3.0,3.0,10.0,-11.0,3.799999999999999
Derrick Favors,1.0,UTA,7.0,11.0,0.636,0.0,0.0,0.000,3.0,4.0,0.636,5.0,5.0,10.0,1.0,0.0,0.0,0.0,4.0,17.0,-6.0,15.800000000000002
Devin Booker,1.0,PHO,9.0,20.0,0.450,0.0,3.0,0.000,6.0,9.0,0.450,2.0,2.0,4.0,7.0,0.0,0.0,0.0,1.0,24.0,-24.0,18.900000000000002
Devin Vassell,3.0,SAS,17.0,43.0,0.395,5.0,20.0,0.250,4.0,5.0,0.395,1.0,11.0,12.0,16.0,8.0,3.0,1.0,1.0,43.0,8.0,43.2
Devonte' Graham,1.0,NOP,5.0,9.0,0.556,4.0,7.0,0.571,2.0,2.0,0.556,1.0,0.0,1.0,7.0,0.0,0.0,2.0,3.0,16.0,-2.0,14.099999999999998
Didi Louzada,1.0,NOP,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7
Domantas Sabonis,1.0,SAC,12.0,15.0,0.800,0.0,2.0,0.000,4.0,5.0,0.800,1.0,10.0,11.0,12.0,0.0,0.0,3.0,3.0,28.0,27.0,29.799999999999997
Dominick Barlow,2.0,SAS,2.0,10.0,0.200,0.0,1.0,0.000,2.0,4.0,0.200,1.0,8.0,9.0,1.0,2.0,0.0,0.0,4.0,6.0,-15.0,3.200000000000001
Donovan Mitchell,3.0,UTA,27.0,59.0,0.458,5.0,20.0,0.250,15.0,17.0,0.458,0.0,11.0,11.0,13.0,3.0,2.0,7.0,10.0,74.0,-16.0,48.5
Dorian Finney-Smith,1.0,DAL,6.0,12.0,0.500,2.0,7.0,0.286,0.0,0.0,0.500,1.0,7.0,8.0,2.0,4.0,0.0,1.0,4.0,14.0,12.0,13.6
Doug McDermott,3.0,SAS,11.0,18.0,0.611,10.0,16.0,0.625,0.0,0.0,0.611,0.0,3.0,3.0,2.0,0.0,0.0,2.0,2.0,32.0,11.0,23.299999999999997
Draymond Green,1.0,GSW,6.0,10.0,0.600,2.0,5.0,0.400,0.0,0.0,0.600,0.0,8.0,8.0,8.0,0.0,0.0,3.0,1.0,14.0,6.0,14.0
Drew Eubanks,1.0,PHO,1.0,3.0,0.333,0.0,0.0,0.000,0.0,0.0,0.333,1.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,2.0,-23.0,-0.4999999999999998
Dwight Powell,1.0,DAL,0.0,1.0,0.000,0.0,1.0,0.000,0.0,0.0,0.000,1.0,3.0,4.0,0.0,0.0,0.0,2.0,5.0,0.0,-11.0,-3.1
Dāvis Bertāns,1.0,DAL,4.0,7.0,0.571,4.0,7.0,0.571,3.0,3.0,0.571,1.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,15.0,6.0,11.200000000000003
Ed Davis,1.0,UTA,2.0,2.0,1.000,0.0,0.0,0.000,0.0,0.0,1.000,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,-7.0,5.8
Ekpe Udoh,1.0,UTA,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,0.000,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-19.0,1.6
Emmanuel Mudiay,1.0,UTA,0.0,2.0,0.000,0.0,1.0,0.000,0.0,0.0,0.000,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,-1.7
Eric Gordon,1.0,PHO,0.0,2.0,0.000,0.0,1.0,0.000,0.0,0.0,0.000,0.0,4.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,-25.0,1.5
Eric Paschall,1.0,UTA,2.0,3.0,0.667,1.0,2.0,0.500,1.0,1.0,0.667,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,9.0,4.2
Garrett Temple,1.0,NOP,4.0,12.0,0.333,1.0,6.0,0.167,3.0,4.0,0.333,3.0,5.0,8.0,2.0,0.0,2.0,1.0,1.0,12.0,-4.0,9.8
Garrison Mathews,1.0,ATL,2.0,4.0,0.500,2.0,4.0,0.500,0.0,0.0,0.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,4.0
Gary Trent Jr.,1.0,POR,3.0,9.0,0.333,1.0,4.0,0.250,0.0,0.0,0.333,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,1.7999999999999994
Georges Niang,1.0,UTA,3.0,10.0,0.300,0.0,5.0,0.000,0.0,0.0,0.300,1.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,6.0,-4.0,1.4000000000000001
Grayson Allen,1.0,PHO,4.0,10.0,0.400,3.0,6.0,0.500,0.0,0.0,0.400,2.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,11.0,-20.0,11.299999999999999
Harrison Barnes,2.0,SAC,10.0,18.0,0.556,8.0,14.0,0.571,14.0,16.0,0.556,1.0,8.0,9.0,3.0,3.0,1.0,3.0,6.0,42.0,29.0,36.099999999999994
Hassan Whiteside,2.0,POR/UTA,8.0,11.0,0.727,0.0,0.0,0.000,3.0,6.0,0.727,6.0,16.0,22.0,0.0,1.0,4.0,2.0,2.0,19.0,19.0,23.299999999999997
Ibou Badji,2.0,POR,3.0,3.0,1.000,0.0,0.0,0.000,3.0,4.0,1.000,6.0,5.0,11.0,1.0,0.0,5.0,0.0,6.0,9.0,1.0,15.199999999999996
Isaiah Joe,1.0,OKC,5.0,11.0,0.455,5.0,10.0,0.500,0.0,0.0,0.455,1.0,4.0,5.0,2.0,0.0,0.0,0.0,1.0,15.0,15.0,12.2
Ish Wainright,1.0,POR,0.0,5.0,0.000,0.0,4.0,0.000,0.0,0.0,0.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-3.2
J.J. Redick,1.0,PHI,4.0,15.0,0.267,0.0,8.0,0.000,3.0,4.0,0.267,0.0,8.0,8.0,5.0,1.0,0.0,2.0,4.0,11.0,3.0,5.0
JaVale McGee,2.0,GSW/SAC,4.0,6.0,0.667,0.0,1.0,0.000,3.0,4.0,0.667,0.0,2.0,2.0,0.0,0.0,2.0,1.0,4.0,11.0,-9.0,7.399999999999999
Jabari Walker,2.0,POR,9.0,15.0,0.600,1.0,2.0,0.500,12.0,15.0,0.600,8.0,10.0,18.0,1.0,2.0,2.0,2.0,8.0,31.0,-6.0,30.4
Jalen Brunson,1.0,DAL,12.0,22.0,0.545,0.0,4.0,0.000,7.0,7.0,0.545,0.0,1.0,1.0,6.0,0.0,0.0,1.0,2.0,31.0,-1.0,23.099999999999998
Jalen Johnson,1.0,ATL,7.0,13.0,0.538,1.0,2.0,0.500,1.0,1.0,0.538,0.0,10.0,10.0,7.0,6.0,0.0,5.0,3.0,16.0,16.0,17.400000000000002
Jalen Williams,1.0,OKC,10.0,19.0,0.526,3.0,6.0,0.500,2.0,2.0,0.526,3.0,4.0,7.0,2.0,6.0,1.0,3.0,3.0,25.0,11.0,22.9
Jarrell Brantley,1.0,UTA,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,0.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.3
Jaxson Hayes,1.0,NOP,0.0,2.0,0.000,0.0,1.0,0.000,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-7.0,-0.7
Jaylin Williams,1.0,OKC,4.0,6.0,0.667,2.0,2.0,1.000,4.0,4.0,0.667,1.0,6.0,7.0,7.0,2.0,0.0,0.0,1.0,14.0,2.0,20.4
Jerami Grant,2.0,POR,18.0,38.0,0.474,5.0,10.0,0.500,15.0,19.0,0.474,3.0,13.0,16.0,9.0,0.0,0.0,8.0,6.0,56.0,-1.0,36.900000000000006
Jeremy Sochan,3.0,SAS,14.0,29.0,0.483,2.0,6.0,0.333,11.0,12.0,0.483,5.0,14.0,19.0,11.0,3.0,3.0,9.0,10.0,41.0,-2.0,33.4
Joe Ingles,2.0,UTA,2.0,6.0,0.333,2.0,4.0,0.500,0.0,0.0,0.333,0.0,5.0,5.0,12.0,1.0,0.0,5.0,4.0,6.0,-30.0,6.8999999999999995
Joe Johnson,1.0,UTA,1.0,4.0,0.250,0.0,1.0,0.000,0.0,0.0,0.250,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,-11.0,-0.7999999999999999
Joel Embiid,1.0,PHI,14.0,20.0,0.700,2.0,3.0,0.667,16.0,19.0,0.700,2.0,13.0,15.0,7.0,0.0,7.0,2.0,4.0,46.0,19.0,47.89999999999999
Jonas Valančiūnas,1.0,NOP,5.0,13.0,0.385,2.0,3.0,0.667,2.0,2.0,0.385,1.0,10.0,11.0,2.0,0.0,0.0,2.0,1.0,14.0,4.0,9.600000000000001
Jordan Bell,1.0,GSW,2.0,6.0,0.333,0.0,0.0,0.000,1.0,3.0,0.333,2.0,11.0,13.0,7.0,1.0,0.0,1.0,4.0,5.0,17.0,8.799999999999999
Jordan Clarkson,3.0,UTA/LAL,17.0,44.0,0.386,5.0,13.0,0.385,7.0,7.0,0.386,3.0,7.0,10.0,7.0,2.0,0.0,2.0,4.0,46.0,-17.0,29.5
Jordan Goodwin,1.0,PHO,1.0,6.0,0.167,0.0,1.0,0.000,1.0,2.0,0.167,2.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,3.0,5.0,-0.2999999999999994
Jose Alvarado,1.0,NOP,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Josh Giddey,1.0,OKC,10.0,19.0,0.526,0.0,3.0,0.000,0.0,0.0,0.526,1.0,4.0,5.0,6.0,0.0,0.0,4.0,2.0,20.0,-1.0,11.999999999999996
